Drug,Protein
DB12500,9606.ENSP00000377262
DB11663,9606.ENSP00000312741
DB11829,9606.ENSP00000241453
DB02010,9606.ENSP00000494788
DB06616,9606.ENSP00000339824
DB09079,9606.ENSP00000431885
DB06616,9606.ENSP00000312741
DB06469,9606.ENSP00000368884
DB07159,9606.ENSP00000275493
DB05424,9606.ENSP00000275815
DB05928,9606.ENSP00000393978
DB06486,9606.ENSP00000479667
DB04868,9606.ENSP00000361423
DB00530,9606.ENSP00000379098
DB06595,9606.ENSP00000337194
DB05928,9606.ENSP00000386135
DB06589,9606.ENSP00000359424
DB07138,9606.ENSP00000386213
DB02010,9606.ENSP00000435412
DB09079,9606.ENSP00000455607
DB07159,9606.ENSP00000422435
DB06999,9606.ENSP00000361423
DB09079,9606.ENSP00000482548
DB06626,9606.ENSP00000275815
DB01259,9606.ENSP00000377262
DB08568,9606.ENSP00000431885
DB06595,9606.ENSP00000241453
DB01259,9606.ENSP00000393978
DB11663,9606.ENSP00000479667
DB01254,9606.ENSP00000288135
DB05969,9606.ENSP00000479667
DB09079,9606.ENSP00000469863
DB06616,9606.ENSP00000288135
DB11958,9606.ENSP00000367900
DB02010,9606.ENSP00000479667
DB00317,9606.ENSP00000241453
DB01259,9606.ENSP00000353452
DB09079,9606.ENSP00000255641
DB09079,9606.ENSP00000422435
DB06616,9606.ENSP00000431885
DB04849,9606.ENSP00000288135
DB02010,9606.ENSP00000253055
DB02010,9606.ENSP00000354558
DB00619,9606.ENSP00000288135
DB03044,9606.ENSP00000257904
DB01259,9606.ENSP00000500386
DB06469,9606.ENSP00000288135
DB11828,9606.ENSP00000312741
DB00619,9606.ENSP00000312741
DB11828,9606.ENSP00000261233
DB00398,9606.ENSP00000386213
DB09079,9606.ENSP00000381097
DB03044,9606.ENSP00000347942
DB04868,9606.ENSP00000393978
DB09079,9606.ENSP00000378914
DB06486,9606.ENSP00000263791
DB05552,9606.ENSP00000361423
DB11958,9606.ENSP00000288135
DB02567,9606.ENSP00000288135
DB12874,9606.ENSP00000347942
DB05984,9606.ENSP00000361423
DB12500,9606.ENSP00000275493
DB04879,9606.ENSP00000386135
DB09079,9606.ENSP00000371341
DB08895,9606.ENSP00000393978
DB06626,9606.ENSP00000275493
DB00530,9606.ENSP00000296474
DB00530,9606.ENSP00000361423
DB11958,9606.ENSP00000345997
DB12874,9606.ENSP00000288135
DB00530,9606.ENSP00000353452
DB01254,9606.ENSP00000319192
DB09079,9606.ENSP00000282356
DB02567,9606.ENSP00000386456
DB01268,9606.ENSP00000361423
DB09079,9606.ENSP00000262948
DB02010,9606.ENSP00000365012
DB03496,9606.ENSP00000361423
DB04849,9606.ENSP00000303830
DB09079,9606.ENSP00000372857
DB08916,9606.ENSP00000361423
DB05984,9606.ENSP00000241453
DB01259,9606.ENSP00000379098
DB02010,9606.ENSP00000295709
DB00619,9606.ENSP00000431885
DB13061,9606.ENSP00000317985
DB07138,9606.ENSP00000386135
DB08568,9606.ENSP00000261937
DB01254,9606.ENSP00000391090
DB06469,9606.ENSP00000480763
DB08865,9606.ENSP00000339824
DB11958,9606.ENSP00000288135
DB00619,9606.ENSP00000386135
DB09079,9606.ENSP00000342105
DB08895,9606.ENSP00000379098
DB06595,9606.ENSP00000343248
DB02010,9606.ENSP00000300093
DB06314,9606.ENSP00000261233
DB05424,9606.ENSP00000374323
DB06616,9606.ENSP00000386135
DB11663,9606.ENSP00000435412
DB02010,9606.ENSP00000431885
DB05928,9606.ENSP00000377262
DB02010,9606.ENSP00000380675
DB06595,9606.ENSP00000394560
DB00530,9606.ENSP00000377262
DB07159,9606.ENSP00000363092
DB06314,9606.ENSP00000313950
DB08877,9606.ENSP00000257904
DB13061,9606.ENSP00000359424
DB02567,9606.ENSP00000391090
DB09079,9606.ENSP00000347942
DB05465,9606.ENSP00000275493
DB05928,9606.ENSP00000361423
DB08865,9606.ENSP00000241453
DB06589,9606.ENSP00000288135
DB09079,9606.ENSP00000357178
DB09079,9606.ENSP00000257904
DB05294,9606.ENSP00000361423
DB06626,9606.ENSP00000241453
DB00317,9606.ENSP00000317272
DB02010,9606.ENSP00000422435
DB11829,9606.ENSP00000393978
DB09079,9606.ENSP00000261798
DB06595,9606.ENSP00000009105
DB00317,9606.ENSP00000367900
DB00619,9606.ENSP00000422435
DB09079,9606.ENSP00000329967
DB00619,9606.ENSP00000361423
DB05969,9606.ENSP00000298910
DB05552,9606.ENSP00000261937
DB08094,9606.ENSP00000298910
DB08877,9606.ENSP00000379098
DB02567,9606.ENSP00000319192
DB09079,9606.ENSP00000499900
DB02010,9606.ENSP00000310094
DB01254,9606.ENSP00000386456
DB00398,9606.ENSP00000361423
DB11663,9606.ENSP00000319192
DB11958,9606.ENSP00000499900
DB12500,9606.ENSP00000379098
DB05424,9606.ENSP00000257904
DB11663,9606.ENSP00000386456
DB09079,9606.ENSP00000410402
DB06469,9606.ENSP00000288135
DB09079,9606.ENSP00000378288
DB11829,9606.ENSP00000377262
DB09079,9606.ENSP00000479667
DB06595,9606.ENSP00000275493
DB05424,9606.ENSP00000241453
DB03044,9606.ENSP00000303830
DB04879,9606.ENSP00000329127
DB08916,9606.ENSP00000361423
DB02010,9606.ENSP00000393312
DB06486,9606.ENSP00000359424
DB12500,9606.ENSP00000275493
DB09079,9606.ENSP00000381070
DB01254,9606.ENSP00000347942
DB02010,9606.ENSP00000261937
DB11829,9606.ENSP00000275493
DB05424,9606.ENSP00000322251
DB03496,9606.ENSP00000329127
DB07138,9606.ENSP00000329127
DB09079,9606.ENSP00000351209
DB05969,9606.ENSP00000435412
DB00398,9606.ENSP00000263923
DB00523,9606.ENSP00000419692
DB00571,9606.ENSP00000305372
DB00668,9606.ENSP00000305372
DB01064,9606.ENSP00000305372
DB00871,9606.ENSP00000305372
DB00816,9606.ENSP00000305372
DB00368,9606.ENSP00000305372
DB00988,9606.ENSP00000305372
DB13089,9606.ENSP00000329127
DB15068,9606.ENSP00000313950
DB05653,9606.ENSP00000388510
DB05653,9606.ENSP00000332296
DB01924,9606.ENSP00000299855
DB00755,9606.ENSP00000388510
DB00755,9606.ENSP00000419692
DB00755,9606.ENSP00000352900
DB00960,9606.ENSP00000358301
DB00960,9606.ENSP00000343782
DB00866,9606.ENSP00000358301
DB00571,9606.ENSP00000343782
DB00866,9606.ENSP00000343782
DB06595,9606.ENSP00000270162
DB03496,9606.ENSP00000435412
DB02010,9606.ENSP00000263798
DB05465,9606.ENSP00000275493
DB06595,9606.ENSP00000278568
DB03496,9606.ENSP00000288135
DB02010,9606.ENSP00000361275
DB06595,9606.ENSP00000483424
DB06595,9606.ENSP00000316948
DB06595,9606.ENSP00000217244
DB06595,9606.ENSP00000295408
DB01254,9606.ENSP00000275493
DB02010,9606.ENSP00000381531
DB02010,9606.ENSP00000381097
DB02010,9606.ENSP00000217244
DB02010,9606.ENSP00000427562
DB05928,9606.ENSP00000442973
DB02010,9606.ENSP00000298630
DB00398,9606.ENSP00000288135
DB05524,9606.ENSP00000345997
DB06595,9606.ENSP00000455607
DB11829,9606.ENSP00000329127
DB06595,9606.ENSP00000361423
DB00530,9606.ENSP00000288135
DB06595,9606.ENSP00000399511
DB06595,9606.ENSP00000286301
DB02010,9606.ENSP00000351209
DB05294,9606.ENSP00000361423
DB05984,9606.ENSP00000361423
DB02010,9606.ENSP00000361423
DB02010,9606.ENSP00000383053
DB06595,9606.ENSP00000393978
DB06595,9606.ENSP00000484390
DB05294,9606.ENSP00000241453
DB05424,9606.ENSP00000435412
DB06595,9606.ENSP00000427552
DB07138,9606.ENSP00000361423
DB05984,9606.ENSP00000361423
DB00398,9606.ENSP00000361423
DB06595,9606.ENSP00000325748
DB06595,9606.ENSP00000345997
DB06589,9606.ENSP00000361423
DB02010,9606.ENSP00000303830
DB01268,9606.ENSP00000393978
DB02010,9606.ENSP00000274643
DB06595,9606.ENSP00000363092
DB03496,9606.ENSP00000393978
DB01268,9606.ENSP00000261233
DB06595,9606.ENSP00000368356
DB06595,9606.ENSP00000274643
DB03044,9606.ENSP00000275493
DB12302,9606.ENSP00000275493
DB06589,9606.ENSP00000339824
DB06589,9606.ENSP00000241453
DB02010,9606.ENSP00000376306
DB00398,9606.ENSP00000361423
DB12302,9606.ENSP00000275493
DB00530,9606.ENSP00000241453
DB06595,9606.ENSP00000275493
DB06595,9606.ENSP00000302898
DB01254,9606.ENSP00000275493
DB11829,9606.ENSP00000241453
DB03044,9606.ENSP00000241453
DB05294,9606.ENSP00000347942
DB06595,9606.ENSP00000386135
DB02010,9606.ENSP00000500582
DB00619,9606.ENSP00000275493
DB06595,9606.ENSP00000314499
DB02010,9606.ENSP00000275493
DB02010,9606.ENSP00000311005
DB02010,9606.ENSP00000435412
DB11829,9606.ENSP00000391090
DB06595,9606.ENSP00000305976
DB03496,9606.ENSP00000241453
DB05465,9606.ENSP00000275493
DB05524,9606.ENSP00000361423
DB06595,9606.ENSP00000357883
DB02010,9606.ENSP00000336740
DB06595,9606.ENSP00000358770
DB06595,9606.ENSP00000262891
DB03044,9606.ENSP00000288135
DB08895,9606.ENSP00000422435
DB02010,9606.ENSP00000402084
DB05465,9606.ENSP00000288135
DB11829,9606.ENSP00000479667
DB05465,9606.ENSP00000275493
DB05928,9606.ENSP00000361423
DB02010,9606.ENSP00000350224
DB02010,9606.ENSP00000356355
DB05465,9606.ENSP00000275493
DB06595,9606.ENSP00000275493
DB06595,9606.ENSP00000362608
DB05524,9606.ENSP00000391090
DB05524,9606.ENSP00000361423
DB05424,9606.ENSP00000347942
DB06595,9606.ENSP00000275493
DB02010,9606.ENSP00000282397
DB06595,9606.ENSP00000431418
DB05524,9606.ENSP00000361423
DB13061,9606.ENSP00000361423
DB01254,9606.ENSP00000275493
DB00530,9606.ENSP00000361423
DB06595,9606.ENSP00000262752
DB02010,9606.ENSP00000347767
DB05984,9606.ENSP00000419060
DB05984,9606.ENSP00000288135
DB06595,9606.ENSP00000375081
DB02010,9606.ENSP00000275493
DB02010,9606.ENSP00000369126
DB06595,9606.ENSP00000360290
DB06595,9606.ENSP00000469863
DB00619,9606.ENSP00000288135
DB05969,9606.ENSP00000241453
DB01254,9606.ENSP00000275493
DB06589,9606.ENSP00000361423
DB05424,9606.ENSP00000361423
DB02010,9606.ENSP00000263923
DB06595,9606.ENSP00000462468
DB08895,9606.ENSP00000262752
DB02010,9606.ENSP00000378505
DB02010,9606.ENSP00000263025
DB06595,9606.ENSP00000478874
DB06595,9606.ENSP00000361554
DB00530,9606.ENSP00000288135
DB05294,9606.ENSP00000241453
DB06595,9606.ENSP00000324856
DB06595,9606.ENSP00000176763
DB00530,9606.ENSP00000361423
DB03044,9606.ENSP00000275493
DB02010,9606.ENSP00000369375
DB06595,9606.ENSP00000394734
DB05969,9606.ENSP00000393978
DB02010,9606.ENSP00000215832
DB02010,9606.ENSP00000369162
DB05465,9606.ENSP00000275493
DB05465,9606.ENSP00000241453
DB02010,9606.ENSP00000233057
DB05928,9606.ENSP00000313950
DB06595,9606.ENSP00000275493
DB02010,9606.ENSP00000275493
DB03044,9606.ENSP00000288135
DB02010,9606.ENSP00000166244
DB00530,9606.ENSP00000313950
DB06595,9606.ENSP00000354207
DB12302,9606.ENSP00000275493
DB05984,9606.ENSP00000361423
DB13061,9606.ENSP00000261233
DB13061,9606.ENSP00000275493
DB02010,9606.ENSP00000378974
DB06595,9606.ENSP00000339824
DB00398,9606.ENSP00000313950
DB06595,9606.ENSP00000363117
DB06595,9606.ENSP00000465039
DB06595,9606.ENSP00000393312
DB02010,9606.ENSP00000379964
DB02010,9606.ENSP00000340361
DB06589,9606.ENSP00000261233
DB02010,9606.ENSP00000220751
DB06595,9606.ENSP00000428924
DB06595,9606.ENSP00000334836
DB01268,9606.ENSP00000361423
DB00398,9606.ENSP00000361423
DB03496,9606.ENSP00000329127
DB02010,9606.ENSP00000498083
DB06595,9606.ENSP00000275493
DB05424,9606.ENSP00000241453
DB06595,9606.ENSP00000435412
DB06595,9606.ENSP00000380638
DB02010,9606.ENSP00000295709
DB06595,9606.ENSP00000429744
DB06595,9606.ENSP00000391090
DB03044,9606.ENSP00000361423
DB05969,9606.ENSP00000261233
DB02010,9606.ENSP00000369390
DB01268,9606.ENSP00000313950
DB05424,9606.ENSP00000241453
DB07138,9606.ENSP00000361423
DB05465,9606.ENSP00000261233
DB05424,9606.ENSP00000288135
DB05294,9606.ENSP00000288135
DB05928,9606.ENSP00000288135
DB02010,9606.ENSP00000275493
DB06595,9606.ENSP00000362680
DB06595,9606.ENSP00000375892
DB06595,9606.ENSP00000314067
DB02010,9606.ENSP00000361423
DB02010,9606.ENSP00000317272
DB11829,9606.ENSP00000288135
DB05928,9606.ENSP00000361423
DB06595,9606.ENSP00000344220
DB06595,9606.ENSP00000445440
DB06595,9606.ENSP00000264972
DB02010,9606.ENSP00000405004
DB06595,9606.ENSP00000372035
DB06595,9606.ENSP00000371614
DB05424,9606.ENSP00000361423
DB02010,9606.ENSP00000292408
DB12302,9606.ENSP00000275493
DB03044,9606.ENSP00000275493
DB02010,9606.ENSP00000384625
DB01254,9606.ENSP00000275493
DB03044,9606.ENSP00000361423
DB02010,9606.ENSP00000370912
DB05294,9606.ENSP00000361423
DB03496,9606.ENSP00000241453
DB02010,9606.ENSP00000275493
DB13061,9606.ENSP00000361423
DB13061,9606.ENSP00000361423
DB02010,9606.ENSP00000374323
DB06595,9606.ENSP00000371188
DB01268,9606.ENSP00000275493
DB06589,9606.ENSP00000419060
DB02010,9606.ENSP00000365730
DB05928,9606.ENSP00000435412
DB02010,9606.ENSP00000497069
DB06589,9606.ENSP00000347942
DB00398,9606.ENSP00000419060
DB06595,9606.ENSP00000442973
DB02010,9606.ENSP00000222330
DB02010,9606.ENSP00000262752
DB02010,9606.ENSP00000216911
DB00398,9606.ENSP00000361423
DB06595,9606.ENSP00000353864
DB05465,9606.ENSP00000275493
DB00530,9606.ENSP00000361423
DB06595,9606.ENSP00000309591
DB06595,9606.ENSP00000379964
DB03496,9606.ENSP00000275493
DB06595,9606.ENSP00000261937
DB05524,9606.ENSP00000241453
DB12302,9606.ENSP00000275493
DB05928,9606.ENSP00000391090
DB06595,9606.ENSP00000369162
DB05524,9606.ENSP00000361423
DB05294,9606.ENSP00000241453
DB05984,9606.ENSP00000288135
DB06595,9606.ENSP00000358813
DB06595,9606.ENSP00000301178
DB12302,9606.ENSP00000275493
DB06595,9606.ENSP00000357494
DB06595,9606.ENSP00000346148
DB06595,9606.ENSP00000410294
DB02010,9606.ENSP00000255641
DB06595,9606.ENSP00000347942
DB06595,9606.ENSP00000317272
DB03044,9606.ENSP00000419060
DB06595,9606.ENSP00000306124
DB01268,9606.ENSP00000361423
DB05524,9606.ENSP00000361423
DB02010,9606.ENSP00000361423
DB05928,9606.ENSP00000361423
DB06595,9606.ENSP00000343658
DB06595,9606.ENSP00000451828
DB06595,9606.ENSP00000222330
DB02010,9606.ENSP00000393312
DB06595,9606.ENSP00000216911
DB06595,9606.ENSP00000431885
DB00317,9606.ENSP00000442973
DB06595,9606.ENSP00000437550
DB00530,9606.ENSP00000361423
DB00530,9606.ENSP00000361423
DB06589,9606.ENSP00000241453
DB06595,9606.ENSP00000319192
DB06595,9606.ENSP00000373700
DB02010,9606.ENSP00000479667
DB05984,9606.ENSP00000361423
DB00317,9606.ENSP00000345997
DB02010,9606.ENSP00000220003
DB06595,9606.ENSP00000345083
DB06595,9606.ENSP00000009105
DB02010,9606.ENSP00000374323
DB06595,9606.ENSP00000310649
DB02010,9606.ENSP00000353846
DB06595,9606.ENSP00000288135
DB00619,9606.ENSP00000361423
DB06595,9606.ENSP00000275493
DB03044,9606.ENSP00000361423
DB06595,9606.ENSP00000369375
DB05928,9606.ENSP00000288135
DB11829,9606.ENSP00000393978
DB05984,9606.ENSP00000241453
DB02010,9606.ENSP00000483570
DB06595,9606.ENSP00000275493
DB06595,9606.ENSP00000257290
DB01268,9606.ENSP00000361423
DB01254,9606.ENSP00000241453
DB05294,9606.ENSP00000241453
DB06595,9606.ENSP00000410402
DB05294,9606.ENSP00000288135
DB06595,9606.ENSP00000359719
DB06595,9606.ENSP00000288135
DB02010,9606.ENSP00000422435
DB05984,9606.ENSP00000347942
DB06595,9606.ENSP00000365012
DB07138,9606.ENSP00000361423
DB06595,9606.ENSP00000261233
DB06595,9606.ENSP00000331602
DB02010,9606.ENSP00000264316
DB02010,9606.ENSP00000338127
DB02010,9606.ENSP00000238616
DB02010,9606.ENSP00000442656
DB06595,9606.ENSP00000476145
DB06595,9606.ENSP00000262848
DB07138,9606.ENSP00000361423
DB05928,9606.ENSP00000361423
DB06595,9606.ENSP00000377262
DB00530,9606.ENSP00000345997
DB01268,9606.ENSP00000347942
DB01254,9606.ENSP00000345997
DB05424,9606.ENSP00000361423
DB06595,9606.ENSP00000281092
DB02010,9606.ENSP00000217188
DB06595,9606.ENSP00000277120
DB01268,9606.ENSP00000339824
DB06595,9606.ENSP00000378974
DB01254,9606.ENSP00000347942
DB00530,9606.ENSP00000361423
DB06595,9606.ENSP00000324806
DB02010,9606.ENSP00000377867
DB00619,9606.ENSP00000361423
DB06595,9606.ENSP00000422435
DB05294,9606.ENSP00000361423
DB02010,9606.ENSP00000275493
DB02010,9606.ENSP00000281821
DB02010,9606.ENSP00000351908
DB06595,9606.ENSP00000357345
DB05984,9606.ENSP00000361423
DB02010,9606.ENSP00000442460
DB11829,9606.ENSP00000241453
DB06595,9606.ENSP00000250896
DB00398,9606.ENSP00000339824
DB05928,9606.ENSP00000339824
DB05465,9606.ENSP00000241453
DB06595,9606.ENSP00000263881
DB02010,9606.ENSP00000424757
DB01268,9606.ENSP00000361423
DB13061,9606.ENSP00000339824
DB00317,9606.ENSP00000261233
DB05524,9606.ENSP00000241453
DB01254,9606.ENSP00000275493
DB05424,9606.ENSP00000288135
DB03044,9606.ENSP00000288135
DB02010,9606.ENSP00000300093
DB05294,9606.ENSP00000339824
DB06595,9606.ENSP00000298048
DB02010,9606.ENSP00000306678
DB06595,9606.ENSP00000379098
DB06595,9606.ENSP00000275493
DB03496,9606.ENSP00000345997
DB05294,9606.ENSP00000288135
DB06595,9606.ENSP00000261799
DB06595,9606.ENSP00000253055
DB06595,9606.ENSP00000329127
DB06595,9606.ENSP00000220003
DB01254,9606.ENSP00000361423
DB00619,9606.ENSP00000361423
DB00530,9606.ENSP00000241453
DB03044,9606.ENSP00000288135
DB06595,9606.ENSP00000368884
DB00317,9606.ENSP00000241453
DB06595,9606.ENSP00000371341
DB06595,9606.ENSP00000477713
DB06595,9606.ENSP00000464030
DB05424,9606.ENSP00000241453
DB06595,9606.ENSP00000341874
DB06595,9606.ENSP00000263955
DB01254,9606.ENSP00000275493
DB02010,9606.ENSP00000361107
DB02010,9606.ENSP00000339916
DB13061,9606.ENSP00000275493
DB00398,9606.ENSP00000361423
DB02010,9606.ENSP00000339824
DB00398,9606.ENSP00000288135
DB06595,9606.ENSP00000263923
DB11829,9606.ENSP00000345997
DB00530,9606.ENSP00000347942
DB06595,9606.ENSP00000479667
DB06589,9606.ENSP00000241453
DB02010,9606.ENSP00000356070
DB02010,9606.ENSP00000355966
DB03496,9606.ENSP00000241453
DB05465,9606.ENSP00000275493
DB05984,9606.ENSP00000361423
DB12302,9606.ENSP00000275493
DB06595,9606.ENSP00000233057
DB13061,9606.ENSP00000361423
DB02010,9606.ENSP00000442973
DB05524,9606.ENSP00000361423
DB06595,9606.ENSP00000482548
DB06595,9606.ENSP00000353824
DB06595,9606.ENSP00000263125
DB03044,9606.ENSP00000361423
DB01268,9606.ENSP00000361423
DB11829,9606.ENSP00000241453
DB05424,9606.ENSP00000313950
DB02010,9606.ENSP00000375986
DB06595,9606.ENSP00000346671
DB01268,9606.ENSP00000262752
DB06595,9606.ENSP00000275493
DB11829,9606.ENSP00000262752
DB00619,9606.ENSP00000288135
DB05294,9606.ENSP00000361423
DB06595,9606.ENSP00000282397
DB13061,9606.ENSP00000361423
DB04879,9606.ENSP00000347942
DB05294,9606.ENSP00000361423
DB01268,9606.ENSP00000435412
DB05928,9606.ENSP00000361423
DB01268,9606.ENSP00000288135
DB02010,9606.ENSP00000325748
DB06595,9606.ENSP00000347942
DB11829,9606.ENSP00000241453
DB05984,9606.ENSP00000288135
DB04879,9606.ENSP00000288135
DB00233,9606.ENSP00000360683
DB12610,9606.ENSP00000263182
DB13245,9606.ENSP00000263182
DB08687,9606.ENSP00000263182
DB12610,9606.ENSP00000263182
DB13245,9606.ENSP00000263182
DB08687,9606.ENSP00000263182
DB13068,9606.ENSP00000419425
DB13068,9606.ENSP00000300026
DB00233,9606.ENSP00000360683
DB00819,9606.ENSP00000430656
DB00819,9606.ENSP00000285379
DB00819,9606.ENSP00000300900
DB00819,9606.ENSP00000498065
DB00819,9606.ENSP00000314099
DB00819,9606.ENSP00000366654
DB00819,9606.ENSP00000345659
DB00819,9606.ENSP00000367608
DB00819,9606.ENSP00000367608
DB00819,9606.ENSP00000178638
DB00819,9606.ENSP00000178638
DB00819,9606.ENSP00000318912
DB00819,9606.ENSP00000358107
DB00819,9606.ENSP00000430656
DB00819,9606.ENSP00000285379
DB00819,9606.ENSP00000345659
DB00819,9606.ENSP00000367608
DB00819,9606.ENSP00000367608
DB00819,9606.ENSP00000318912
DB00819,9606.ENSP00000430656
DB00819,9606.ENSP00000285379
DB00819,9606.ENSP00000178638
DB00819,9606.ENSP00000318912
DB00398,9606.ENSP00000263923
DB01268,9606.ENSP00000263923
DB06637,9606.ENSP00000358784
DB04046,9606.ENSP00000215909
DB04681,9606.ENSP00000215909
DB02100,9606.ENSP00000215909
DB04046,9606.ENSP00000254301
DB04681,9606.ENSP00000254301
DB02100,9606.ENSP00000254301
DB04046,9606.ENSP00000313571
DB04681,9606.ENSP00000313571
DB04046,9606.ENSP00000435460
DB04681,9606.ENSP00000435460
DB02100,9606.ENSP00000435460
DB04046,9606.ENSP00000378856
DB04681,9606.ENSP00000378856
DB02100,9606.ENSP00000378856
DB00738,9606.ENSP00000291700
DB00321,9606.ENSP00000431418
DB00321,9606.ENSP00000431418
DB00321,9606.ENSP00000431418
DB07108,9606.ENSP00000365230
DB03128,9606.ENSP00000306490
DB01085,9606.ENSP00000306490
DB02877,9606.ENSP00000388510
DB11806,9606.ENSP00000388510
DB06589,9606.ENSP00000356899
DB12919,9606.ENSP00000356205
DB07614,9606.ENSP00000295256
DB07614,9606.ENSP00000295256
DB08790,9606.ENSP00000295256
DB00317,9606.ENSP00000314499
DB03796,9606.ENSP00000297258
DB04829,9606.ENSP00000276198
DB06947,9606.ENSP00000308541
DB08604,9606.ENSP00000237014
DB00730,9606.ENSP00000383003
DB07108,9606.ENSP00000378040
DB08424,9606.ENSP00000394560
DB12591,9606.ENSP00000432511
DB12591,9606.ENSP00000499900
DB00523,9606.ENSP00000419692
DB00307,9606.ENSP00000419692
DB12316,9606.ENSP00000419692
DB03921,9606.ENSP00000427562
DB02546,9606.ENSP00000362674
DB08895,9606.ENSP00000429744
DB08895,9606.ENSP00000343325
DB08895,9606.ENSP00000422435
DB08895,9606.ENSP00000262752
DB08895,9606.ENSP00000499251
DB08895,9606.ENSP00000459799
DB08895,9606.ENSP00000431885
DB08895,9606.ENSP00000256460
DB07677,9606.ENSP00000355759
DB08348,9606.ENSP00000355759
DB08058,9606.ENSP00000355759
DB07677,9606.ENSP00000355759
DB00523,9606.ENSP00000388510
DB00523,9606.ENSP00000254066
DB00755,9606.ENSP00000352900
DB00523,9606.ENSP00000352900
DB00755,9606.ENSP00000363817
DB12062,9606.ENSP00000263377
DB04580,9606.ENSP00000419765
DB02877,9606.ENSP00000254066
DB11672,9606.ENSP00000284818
DB15359,9606.ENSP00000284818
DB01259,9606.ENSP00000176763
DB00259,9606.ENSP00000285379
DB01259,9606.ENSP00000269571
DB01259,9606.ENSP00000358770
DB02891,9606.ENSP00000373340
DB01024,9606.ENSP00000287820
DB07045,9606.ENSP00000437125
DB13916,9606.ENSP00000437125
DB03172,9606.ENSP00000437125
DB00640,9606.ENSP00000437125
DB07045,9606.ENSP00000437125
DB13916,9606.ENSP00000437125
DB03172,9606.ENSP00000437125
DB00640,9606.ENSP00000437125
DB13044,9606.ENSP00000365230
DB13044,9606.ENSP00000365230
DB08834,9606.ENSP00000312286
DB02659,9606.ENSP00000312286
DB01197,9606.ENSP00000228740
DB01197,9606.ENSP00000228740
DB03424,9606.ENSP00000228740
DB01197,9606.ENSP00000228740
DB03424,9606.ENSP00000228740
DB03424,9606.ENSP00000228740
DB11644,9606.ENSP00000237014
DB11644,9606.ENSP00000237014
DB15584,9606.ENSP00000386593
DB00091,9606.ENSP00000419425
DB08845,9606.ENSP00000355601
DB08845,9606.ENSP00000355601
DB08845,9606.ENSP00000355601
DB00139,9606.ENSP00000355601
DB08845,9606.ENSP00000355601
DB00755,9606.ENSP00000419692
DB05465,9606.ENSP00000478874
DB05465,9606.ENSP00000425824
DB05465,9606.ENSP00000282356
DB00398,9606.ENSP00000425824
DB00398,9606.ENSP00000282356
DB00398,9606.ENSP00000371188
DB00398,9606.ENSP00000266970
DB00398,9606.ENSP00000410561
DB00398,9606.ENSP00000419782
DB12874,9606.ENSP00000176763
DB12874,9606.ENSP00000343658
DB12874,9606.ENSP00000250896
DB12874,9606.ENSP00000363571
DB12874,9606.ENSP00000257290
DB12874,9606.ENSP00000261799
DB12874,9606.ENSP00000347942
DB12874,9606.ENSP00000358335
DB12874,9606.ENSP00000361554
DB12874,9606.ENSP00000431418
DB12874,9606.ENSP00000277120
DB12874,9606.ENSP00000354207
DB12874,9606.ENSP00000263923
DB12874,9606.ENSP00000376647
DB12874,9606.ENSP00000451263
DB12874,9606.ENSP00000253055
DB12874,9606.ENSP00000309597
DB12874,9606.ENSP00000355731
DB12874,9606.ENSP00000355237
DB12874,9606.ENSP00000361892
DB12874,9606.ENSP00000429744
DB12874,9606.ENSP00000365730
DB12874,9606.ENSP00000377867
DB12874,9606.ENSP00000365162
DB12874,9606.ENSP00000495965
DB12874,9606.ENSP00000229812
DB12874,9606.ENSP00000373684
DB12874,9606.ENSP00000424757
DB12874,9606.ENSP00000355966
DB12874,9606.ENSP00000347767
DB12874,9606.ENSP00000362702
DB12874,9606.ENSP00000356355
DB12874,9606.ENSP00000238616
DB12874,9606.ENSP00000420849
DB12874,9606.ENSP00000384625
DB12874,9606.ENSP00000311713
DB12874,9606.ENSP00000333685
DB12874,9606.ENSP00000211287
DB12874,9606.ENSP00000215659
DB12874,9606.ENSP00000278568
DB12874,9606.ENSP00000314067
DB12874,9606.ENSP00000353864
DB12874,9606.ENSP00000469413
DB12874,9606.ENSP00000453858
DB12874,9606.ENSP00000367686
DB12874,9606.ENSP00000276052
DB12874,9606.ENSP00000261211
DB12874,9606.ENSP00000344220
DB12874,9606.ENSP00000369390
DB12874,9606.ENSP00000445440
DB12874,9606.ENSP00000455607
DB12874,9606.ENSP00000356155
DB12874,9606.ENSP00000445381
DB12874,9606.ENSP00000501150
DB12874,9606.ENSP00000366563
DB12874,9606.ENSP00000419260
DB12874,9606.ENSP00000357869
DB12874,9606.ENSP00000362608
DB12874,9606.ENSP00000353824
DB12874,9606.ENSP00000357883
DB12874,9606.ENSP00000482548
DB12874,9606.ENSP00000359719
DB12874,9606.ENSP00000262300
DB12874,9606.ENSP00000343325
DB12874,9606.ENSP00000359552
DB12874,9606.ENSP00000300093
DB12874,9606.ENSP00000274289
DB12874,9606.ENSP00000361275
DB12874,9606.ENSP00000270861
DB12874,9606.ENSP00000331602
DB12874,9606.ENSP00000306124
DB12874,9606.ENSP00000263125
DB12874,9606.ENSP00000390535
DB12874,9606.ENSP00000368356
DB12874,9606.ENSP00000264399
DB12874,9606.ENSP00000233057
DB05465,9606.ENSP00000405004
DB05465,9606.ENSP00000306340
